,Place,Term,Suffix,First_Letter,First_Two_Letter,First_Three_Letter,First_Four_Letter,Last_Letter,Last_Two_Letter,Last_Three_Letter,Last_Four_Letter,First_Letter_Type,Last_Letter_Type,Length,Second_Letter,Second_Letter_Type,Third_Letter,Third_Letter_Type,Fourth_Letter,Fourth_Letter_Type,Second_Last_Letter,Second_Last_Letter_Type,Third_Last_Letter,Third_Last_Letter_Type,Fourth_Last_Letter,Fourth_Last_Letter_Type
1411,Gaoual,Gaoualans,ans,G,Ga,Gao,Gaou,l,al,ual,oual,consanent,consanent,6,a,vowel,o,vowel,u,vowel,a,vowel,u,vowel,o,vowel
1412,Garbsen,Garbseners,ers,G,Ga,Gar,Garb,n,en,sen,bsen,consanent,consanent,7,a,vowel,r,consanent,b,consanent,e,vowel,s,consanent,b,consanent
1414,Gardez,Gardezi,i,G,Ga,Gar,Gard,z,ez,dez,rdez,consanent,consanent,6,a,vowel,r,consanent,d,consanent,e,vowel,d,consanent,r,consanent
1415,Garissa,Garissans,ns,G,Ga,Gar,Gari,a,sa,ssa,issa,consanent,vowel,7,a,vowel,r,consanent,i,vowel,s,consanent,s,consanent,i,vowel
1416,Garland,Garlanders,ers,G,Ga,Gar,Garl,d,nd,and,land,consanent,consanent,7,a,vowel,r,consanent,l,consanent,n,consanent,a,vowel,l,consanent
1417,Garoua,Garouais,is,G,Ga,Gar,Garo,a,ua,oua,roua,consanent,vowel,6,a,vowel,r,consanent,o,vowel,u,vowel,o,vowel,r,consanent
1418,Gasa,Gasaans,ans,G,Ga,Gas,Gasa,a,sa,asa,Gasa,consanent,vowel,4,a,vowel,s,consanent,a,vowel,s,consanent,a,vowel,G,consanent
1419,Gateshead,Gatesheader,er,G,Ga,Gat,Gate,d,ad,ead,head,consanent,consanent,9,a,vowel,t,consanent,e,vowel,a,vowel,e,vowel,h,consanent
1421,Gaza,Gazaenses,enses,G,Ga,Gaz,Gaza,a,za,aza,Gaza,consanent,vowel,4,a,vowel,z,consanent,a,vowel,z,consanent,a,vowel,G,consanent
1422,Gaziantep,Gaziantepli,li,G,Ga,Gaz,Gazi,p,ep,tep,ntep,consanent,consanent,9,a,vowel,z,consanent,i,vowel,e,vowel,t,consanent,n,consanent
1423,Gazipur,Gazipuri,i,G,Ga,Gaz,Gazi,r,ur,pur,ipur,consanent,consanent,7,a,vowel,z,consanent,i,vowel,u,vowel,p,consanent,i,vowel
1424,Gbarnga,Gbarngans,ns,G,Gb,Gba,Gbar,a,ga,nga,rnga,consanent,vowel,7,b,consanent,a,vowel,r,consanent,g,consanent,n,consanent,r,consanent
1425,Gdansk,Gdanskians,ians,G,Gd,Gda,Gdan,k,sk,nsk,ansk,consanent,consanent,6,d,consanent,a,vowel,n,consanent,s,consanent,n,consanent,a,vowel
1426,Gdynia,Gdynians,ns,G,Gd,Gdy,Gdyn,a,ia,nia,ynia,consanent,vowel,6,d,consanent,y,consanent,n,consanent,i,vowel,n,consanent,y,consanent
1428,Gedo,Gedoites,ites,G,Ge,Ged,Gedo,o,do,edo,Gedo,consanent,vowel,4,e,vowel,d,consanent,o,vowel,d,consanent,e,vowel,G,consanent
1429,Gegharkunik,Gegharkuniki,i,G,Ge,Geg,Gegh,k,ik,nik,unik,consanent,consanent,11,e,vowel,g,consanent,h,consanent,i,vowel,n,consanent,u,vowel
1430,Gelderland,Gelderlander,er,G,Ge,Gel,Geld,d,nd,and,land,consanent,consanent,10,e,vowel,l,consanent,d,consanent,n,consanent,a,vowel,l,consanent
1431,Gelephu,Gelephuans,ans,G,Ge,Gel,Gele,u,hu,phu,ephu,consanent,vowel,7,e,vowel,l,consanent,e,vowel,h,consanent,p,consanent,e,vowel
1432,Gelsenkirchen,Gelsenkircheners,ers,G,Ge,Gel,Gels,n,en,hen,chen,consanent,consanent,13,e,vowel,l,consanent,s,consanent,e,vowel,h,consanent,c,consanent
1433,Gemena,Gemenais,is,G,Ge,Gem,Geme,a,na,ena,mena,consanent,vowel,6,e,vowel,m,consanent,e,vowel,n,consanent,e,vowel,m,consanent
1435,Geneva,Genevans,ns,G,Ge,Gen,Gene,a,va,eva,neva,consanent,vowel,6,e,vowel,n,consanent,e,vowel,v,consanent,e,vowel,n,consanent
1437,George Town,George Towners,ers,G,Ge,Geo,Geor,n,wn,own,Town,consanent,consanent,11,e,vowel,o,vowel,r,consanent,w,consanent,o,vowel,T,consanent
1438,Georgetown,Georgetownians,ians,G,Ge,Geo,Geor,n,wn,own,town,consanent,consanent,10,e,vowel,o,vowel,r,consanent,w,consanent,o,vowel,t,consanent
1439,Georgia,Georgians,ns,G,Ge,Geo,Geor,a,ia,gia,rgia,consanent,vowel,7,e,vowel,o,vowel,r,consanent,i,vowel,g,consanent,r,consanent
1441,Getafe,Getafenses,nses,G,Ge,Get,Geta,e,fe,afe,tafe,consanent,vowel,6,e,vowel,t,consanent,a,vowel,f,consanent,a,vowel,t,consanent
1443,Geylang,Geylangers,ers,G,Ge,Gey,Geyl,g,ng,ang,lang,consanent,consanent,7,e,vowel,y,consanent,l,consanent,n,consanent,a,vowel,l,consanent
1444,Ghajnsielem,Ghajnsielemi,i,G,Gh,Gha,Ghaj,m,em,lem,elem,consanent,consanent,11,h,consanent,a,vowel,j,consanent,e,vowel,l,consanent,e,vowel
1445,Gharb,Gharbin,in,G,Gh,Gha,Ghar,b,rb,arb,harb,consanent,consanent,5,h,consanent,a,vowel,r,consanent,r,consanent,a,vowel,h,consanent
1446,Gharbia,Gharbians,ns,G,Gh,Gha,Ghar,a,ia,bia,rbia,consanent,vowel,7,h,consanent,a,vowel,r,consanent,i,vowel,b,consanent,r,consanent
1447,Gharghur,Gharghurin,in,G,Gh,Gha,Ghar,r,ur,hur,ghur,consanent,consanent,8,h,consanent,a,vowel,r,consanent,u,vowel,h,consanent,g,consanent
1449,Gharyan,Gharyanis,is,G,Gh,Gha,Ghar,n,an,yan,ryan,consanent,consanent,7,h,consanent,a,vowel,r,consanent,a,vowel,y,consanent,r,consanent
1450,Ghasri,Ghasrin,n,G,Gh,Gha,Ghas,i,ri,sri,asri,consanent,vowel,6,h,consanent,a,vowel,s,consanent,r,consanent,s,consanent,a,vowel
1451,Ghauspur,Ghauspuri,i,G,Gh,Gha,Ghau,r,ur,pur,spur,consanent,consanent,8,h,consanent,a,vowel,u,vowel,u,vowel,p,consanent,s,consanent
1452,Ghaziabad,Ghaziabadi,i,G,Gh,Gha,Ghaz,d,ad,bad,abad,consanent,consanent,9,h,consanent,a,vowel,z,consanent,a,vowel,b,consanent,a,vowel
1454,Ghor,Ghoris,is,G,Gh,Gho,Ghor,r,or,hor,Ghor,consanent,consanent,4,h,consanent,o,vowel,r,consanent,o,vowel,h,consanent,G,consanent
1455,Ghormach,Ghormachi,i,G,Gh,Gho,Ghor,h,ch,ach,mach,consanent,consanent,8,h,consanent,o,vowel,r,consanent,c,consanent,a,vowel,m,consanent
1458,Giesen,Gieseners,ers,G,Gi,Gie,Gies,n,en,sen,esen,consanent,consanent,6,i,vowel,e,vowel,s,consanent,e,vowel,s,consanent,e,vowel
1459,Gifu,Gifuans,ans,G,Gi,Gif,Gifu,u,fu,ifu,Gifu,consanent,vowel,4,i,vowel,f,consanent,u,vowel,f,consanent,i,vowel,G,consanent
1461,Gilbert,Gilberters,ers,G,Gi,Gil,Gilb,t,rt,ert,bert,consanent,consanent,7,i,vowel,l,consanent,b,consanent,r,consanent,e,vowel,b,consanent
1462,Gillingham,Gillinghamer,er,G,Gi,Gil,Gill,m,am,ham,gham,consanent,consanent,10,i,vowel,l,consanent,l,consanent,a,vowel,h,consanent,g,consanent
1463,Ginger Island,Ginger Islanders,ers,G,Gi,Gin,Ging,d,nd,and,land,consanent,consanent,13,i,vowel,n,consanent,g,consanent,n,consanent,a,vowel,l,consanent
1464,Giresun,Giresunlu,lu,G,Gi,Gir,Gire,n,un,sun,esun,consanent,consanent,7,i,vowel,r,consanent,e,vowel,u,vowel,s,consanent,e,vowel
1465,Gisenyi,Gisenyians,ans,G,Gi,Gis,Gise,i,yi,nyi,enyi,consanent,vowel,7,i,vowel,s,consanent,e,vowel,y,consanent,n,consanent,e,vowel
1466,Gitega,Gitegans,ns,G,Gi,Git,Gite,a,ga,ega,tega,consanent,vowel,6,i,vowel,t,consanent,e,vowel,g,consanent,e,vowel,t,consanent
1468,Givatayim,Givatayimim,im,G,Gi,Giv,Giva,m,im,yim,ayim,consanent,consanent,9,i,vowel,v,consanent,a,vowel,i,vowel,y,consanent,a,vowel
1470,Gjovik,Gjovikinger,inger,G,Gj,Gjo,Gjov,k,ik,vik,ovik,consanent,consanent,6,j,consanent,o,vowel,v,consanent,i,vowel,v,consanent,o,vowel
1471,Gladsaxe,Gladsaxers,rs,G,Gl,Gla,Glad,e,xe,axe,saxe,consanent,vowel,8,l,consanent,a,vowel,d,consanent,x,consanent,a,vowel,s,consanent
1472,Glendale,Glendaleans,ans,G,Gl,Gle,Glen,e,le,ale,dale,consanent,vowel,8,l,consanent,e,vowel,n,consanent,l,consanent,a,vowel,d,consanent
1473,Gliwice,Gliwicers,rs,G,Gl,Gli,Gliw,e,ce,ice,wice,consanent,vowel,7,l,consanent,i,vowel,w,consanent,c,consanent,i,vowel,w,consanent
1474,Glostrup,Glostrupers,ers,G,Gl,Glo,Glos,p,up,rup,trup,consanent,consanent,8,l,consanent,o,vowel,s,consanent,u,vowel,r,consanent,t,consanent
1475,Gmunden,Gmundeners,ers,G,Gm,Gmu,Gmun,n,en,den,nden,consanent,consanent,7,m,consanent,u,vowel,n,consanent,e,vowel,d,consanent,n,consanent
1476,Goa,Goans,ns,G,Go,Goa,Goa,a,oa,Goa,a,consanent,vowel,3,o,vowel,a,vowel,,,o,vowel,G,consanent,,
1477,Goaso,Goasons,ns,G,Go,Goa,Goas,o,so,aso,oaso,consanent,vowel,5,o,vowel,a,vowel,s,consanent,s,consanent,a,vowel,o,vowel
1478,Gojra,Gojrai,i,G,Go,Goj,Gojr,a,ra,jra,ojra,consanent,vowel,5,o,vowel,j,consanent,r,consanent,r,consanent,j,consanent,o,vowel
1479,Gold Coast,Gold Coasters,ers,G,Go,Gol,Gold,t,st,ast,oast,consanent,consanent,10,o,vowel,l,consanent,d,consanent,s,consanent,a,vowel,o,vowel
1480,Goma,Gomans,ns,G,Go,Gom,Goma,a,ma,oma,Goma,consanent,vowel,4,o,vowel,m,consanent,a,vowel,m,consanent,o,vowel,G,consanent
1481,Gomel,Gomelians,ians,G,Go,Gom,Gome,l,el,mel,omel,consanent,consanent,5,o,vowel,m,consanent,e,vowel,e,vowel,m,consanent,o,vowel
1482,Gondar,Gondarians,ians,G,Go,Gon,Gond,r,ar,dar,ndar,consanent,consanent,6,o,vowel,n,consanent,d,consanent,a,vowel,d,consanent,n,consanent
1483,Gorakhpur,Gorakhpuri,i,G,Go,Gor,Gora,r,ur,pur,hpur,consanent,consanent,9,o,vowel,r,consanent,a,vowel,u,vowel,p,consanent,h,consanent
1484,Goravan,Goravantsi,tsi,G,Go,Gor,Gora,n,an,van,avan,consanent,consanent,7,o,vowel,r,consanent,a,vowel,a,vowel,v,consanent,a,vowel
1485,Gorey,Goreyans,ans,G,Go,Gor,Gore,y,ey,rey,orey,consanent,consanent,5,o,vowel,r,consanent,e,vowel,e,vowel,r,consanent,o,vowel
1486,Gorgan,Gorgani,i,G,Go,Gor,Gorg,n,an,gan,rgan,consanent,consanent,6,o,vowel,r,consanent,g,consanent,a,vowel,g,consanent,r,consanent
1488,Goris,Gorisetsi,etsi,G,Go,Gor,Gori,s,is,ris,oris,consanent,consanent,5,o,vowel,r,consanent,i,vowel,i,vowel,r,consanent,o,vowel
1489,Gorisnica,Gorisnicani,ni,G,Go,Gor,Gori,a,ca,ica,nica,consanent,vowel,9,o,vowel,r,consanent,i,vowel,c,consanent,i,vowel,n,consanent
1490,Gorizia,Goriziani,ni,G,Go,Gor,Gori,a,ia,zia,izia,consanent,vowel,7,o,vowel,r,consanent,i,vowel,i,vowel,z,consanent,i,vowel
1492,Gorom-Gorom,Gorom-Goromois,ois,G,Go,Gor,Goro,m,om,rom,orom,consanent,consanent,11,o,vowel,r,consanent,o,vowel,o,vowel,r,consanent,o,vowel
1493,Gorzow Wielkopolski,Gorzow Wielkopolskians,ans,G,Go,Gor,Gorz,i,ki,ski,lski,consanent,vowel,19,o,vowel,r,consanent,z,consanent,k,consanent,s,consanent,l,consanent
1494,Gossau,Gossauer,er,G,Go,Gos,Goss,u,au,sau,ssau,consanent,vowel,6,o,vowel,s,consanent,s,consanent,a,vowel,s,consanent,s,consanent
1495,Gothenburg,Gothenburgers,ers,G,Go,Got,Goth,g,rg,urg,burg,consanent,consanent,10,o,vowel,t,consanent,h,consanent,r,consanent,u,vowel,b,consanent
1496,Governor's Harbour,Governor's Harbourites,ites,G,Go,Gov,Gove,r,ur,our,bour,consanent,consanent,18,o,vowel,v,consanent,e,vowel,u,vowel,o,vowel,b,consanent
1497,Govi-Altai,Govi-Altaians,ans,G,Go,Gov,Govi,i,ai,tai,ltai,consanent,vowel,10,o,vowel,v,consanent,i,vowel,a,vowel,t,consanent,l,consanent
1498,Govisumber,Govisumberians,ians,G,Go,Gov,Govi,r,er,ber,mber,consanent,consanent,10,o,vowel,v,consanent,i,vowel,e,vowel,b,consanent,m,consanent
1499,Goycay,Goycaylilar,lilar,G,Go,Goy,Goyc,y,ay,cay,ycay,consanent,consanent,6,o,vowel,y,consanent,c,consanent,a,vowel,c,consanent,y,consanent
1500,Goychay,Goychayans,ans,G,Go,Goy,Goyc,y,ay,hay,chay,consanent,consanent,7,o,vowel,y,consanent,c,consanent,a,vowel,h,consanent,c,consanent
1503,Gradacac,Gradacacani,ani,G,Gr,Gra,Grad,c,ac,cac,acac,consanent,consanent,8,r,consanent,a,vowel,d,consanent,a,vowel,c,consanent,a,vowel
1504,Grand Port,Grand Portiens,iens,G,Gr,Gra,Gran,t,rt,ort,Port,consanent,consanent,10,r,consanent,a,vowel,n,consanent,r,consanent,o,vowel,P,consanent
1505,Gravatai,Gravataienses,enses,G,Gr,Gra,Grav,i,ai,tai,atai,consanent,vowel,8,r,consanent,a,vowel,v,consanent,a,vowel,t,consanent,a,vowel
1506,Graz,Grazers,ers,G,Gr,Gra,Graz,z,az,raz,Graz,consanent,consanent,4,r,consanent,a,vowel,z,consanent,a,vowel,r,consanent,G,consanent
1507,Great Camanoe,Great Camanoe Islanders,islanders,G,Gr,Gre,Grea,e,oe,noe,anoe,consanent,vowel,13,r,consanent,e,vowel,a,vowel,o,vowel,n,consanent,a,vowel
1508,Great Thatch,Great Thatch Islanders,islanders,G,Gr,Gre,Grea,h,ch,tch,atch,consanent,consanent,12,r,consanent,e,vowel,a,vowel,c,consanent,t,consanent,a,vowel
1509,Great Tobago,Great Tobago Islanders,islanders,G,Gr,Gre,Grea,o,go,ago,bago,consanent,vowel,12,r,consanent,e,vowel,a,vowel,g,consanent,a,vowel,b,consanent
1510,Green Turtle Cay,Green Turtle Cayans,ans,G,Gr,Gre,Gree,y,ay,Cay, Cay,consanent,consanent,16,r,consanent,e,vowel,e,vowel,a,vowel,C,consanent, ,consanent
1511,Greenland,Greenlanders,ers,G,Gr,Gre,Gree,d,nd,and,land,consanent,consanent,9,r,consanent,e,vowel,e,vowel,n,consanent,a,vowel,l,consanent
1512,Greifswald,Greifswalder,er,G,Gr,Gre,Grei,d,ld,ald,wald,consanent,consanent,10,r,consanent,e,vowel,i,vowel,l,consanent,a,vowel,w,consanent
1513,Grenchen,Grenchener,er,G,Gr,Gre,Gren,n,en,hen,chen,consanent,consanent,8,r,consanent,e,vowel,n,consanent,e,vowel,h,consanent,c,consanent
1514,Gribskov,Gribskovians,ians,G,Gr,Gri,Grib,v,ov,kov,skov,consanent,consanent,8,r,consanent,i,vowel,b,consanent,o,vowel,k,consanent,s,consanent
1516,Grootfontein,Grootfonteiners,ers,G,Gr,Gro,Groo,n,in,ein,tein,consanent,consanent,12,r,consanent,o,vowel,o,vowel,i,vowel,e,vowel,t,consanent
1517,Gros Islet,Gros Isletians,ians,G,Gr,Gro,Gros,t,et,let,slet,consanent,consanent,10,r,consanent,o,vowel,s,consanent,e,vowel,l,consanent,s,consanent
1518,Gros-Enzersdorf,Gros-Enzersdorfers,ers,G,Gr,Gro,Gros,f,rf,orf,dorf,consanent,consanent,15,r,consanent,o,vowel,s,consanent,r,consanent,o,vowel,d,consanent
1519,Grudziadz,Grudziadzians,ians,G,Gr,Gru,Grud,z,dz,adz,iadz,consanent,consanent,9,r,consanent,u,vowel,d,consanent,d,consanent,a,vowel,i,vowel
1520,Gualeguaychu,Gualeguaychuenses,enses,G,Gu,Gua,Gual,u,hu,chu,ychu,consanent,vowel,12,u,vowel,a,vowel,l,consanent,h,consanent,c,consanent,y,consanent
1521,Guana Island,Guana Islanders,ers,G,Gu,Gua,Guan,d,nd,and,land,consanent,consanent,12,u,vowel,a,vowel,n,consanent,n,consanent,a,vowel,l,consanent
1523,Guangzhou,Guangzhouer,er,G,Gu,Gua,Guan,u,ou,hou,zhou,consanent,vowel,9,u,vowel,a,vowel,n,consanent,o,vowel,h,consanent,z,consanent
1524,Guanica,Guanicas,s,G,Gu,Gua,Guan,a,ca,ica,nica,consanent,vowel,7,u,vowel,a,vowel,n,consanent,c,consanent,i,vowel,n,consanent
1525,Guarare,Guararenos,nos,G,Gu,Gua,Guar,e,re,are,rare,consanent,vowel,7,u,vowel,a,vowel,r,consanent,r,consanent,a,vowel,r,consanent
1526,Guaruja,Guarujaenses,enses,G,Gu,Gua,Guar,a,ja,uja,ruja,consanent,vowel,7,u,vowel,a,vowel,r,consanent,j,consanent,u,vowel,r,consanent
1527,Guatire,Guatirenos,nos,G,Gu,Gua,Guat,e,re,ire,tire,consanent,vowel,7,u,vowel,a,vowel,t,consanent,r,consanent,i,vowel,t,consanent
1528,Guaviare,Guaviarenos,nos,G,Gu,Gua,Guav,e,re,are,iare,consanent,vowel,8,u,vowel,a,vowel,v,consanent,r,consanent,a,vowel,i,vowel
1529,Guayanilla,Guayanillanos,nos,G,Gu,Gua,Guay,a,la,lla,illa,consanent,vowel,10,u,vowel,a,vowel,y,consanent,l,consanent,l,consanent,i,vowel
1530,Guayaquil,Guayaquilenos,enos,G,Gu,Gua,Guay,l,il,uil,quil,consanent,consanent,9,u,vowel,a,vowel,y,consanent,i,vowel,u,vowel,q,consanent
1531,Guelma,Guelmais,is,G,Gu,Gue,Guel,a,ma,lma,elma,consanent,vowel,6,u,vowel,e,vowel,l,consanent,m,consanent,l,consanent,e,vowel
1532,Guelmim,Guelmimis,is,G,Gu,Gue,Guel,m,im,mim,lmim,consanent,consanent,7,u,vowel,e,vowel,l,consanent,i,vowel,m,consanent,l,consanent
1533,Guercif,Guercifis,is,G,Gu,Gue,Guer,f,if,cif,rcif,consanent,consanent,7,u,vowel,e,vowel,r,consanent,i,vowel,c,consanent,r,consanent
1534,Guerrero,Guerreroanos,anos,G,Gu,Gue,Guer,o,ro,ero,rero,consanent,vowel,8,u,vowel,e,vowel,r,consanent,r,consanent,e,vowel,r,consanent
1535,Guider,Guiderois,ois,G,Gu,Gui,Guid,r,er,der,ider,consanent,consanent,6,u,vowel,i,vowel,d,consanent,e,vowel,d,consanent,i,vowel
1536,Guidimaka,Guidimakas,s,G,Gu,Gui,Guid,a,ka,aka,maka,consanent,vowel,9,u,vowel,i,vowel,d,consanent,k,consanent,a,vowel,m,consanent
1537,Guilin,Guilinese,ese,G,Gu,Gui,Guil,n,in,lin,ilin,consanent,consanent,6,u,vowel,i,vowel,l,consanent,i,vowel,l,consanent,i,vowel
1538,Guiyang,Guiyanger,er,G,Gu,Gui,Guiy,g,ng,ang,yang,consanent,consanent,7,u,vowel,i,vowel,y,consanent,n,consanent,a,vowel,y,consanent
1539,Gujar Khan,Gujar Khani,i,G,Gu,Guj,Guja,n,an,han,Khan,consanent,consanent,10,u,vowel,j,consanent,a,vowel,a,vowel,h,consanent,K,consanent
1540,Gujarat,Gujaratis,is,G,Gu,Guj,Guja,t,at,rat,arat,consanent,consanent,7,u,vowel,j,consanent,a,vowel,a,vowel,r,consanent,a,vowel
1541,Gujrat,Gujrati,i,G,Gu,Guj,Gujr,t,at,rat,jrat,consanent,consanent,6,u,vowel,j,consanent,r,consanent,a,vowel,r,consanent,j,consanent
1543,Guldborgsund,Guldborgsunders,ers,G,Gu,Gul,Guld,d,nd,und,sund,consanent,consanent,12,u,vowel,l,consanent,d,consanent,n,consanent,u,vowel,s,consanent
1544,Guliston,Gulistonis,is,G,Gu,Gul,Guli,n,on,ton,ston,consanent,consanent,8,u,vowel,l,consanent,i,vowel,o,vowel,t,consanent,s,consanent
1545,Gulu,Guluans,ans,G,Gu,Gul,Gulu,u,lu,ulu,Gulu,consanent,vowel,4,u,vowel,l,consanent,u,vowel,l,consanent,u,vowel,G,consanent
1546,Gumushane,Gumushaneli,li,G,Gu,Gum,Gumu,e,ne,ane,hane,consanent,vowel,9,u,vowel,m,consanent,u,vowel,n,consanent,a,vowel,h,consanent
1547,Guntur,Gunturite,ite,G,Gu,Gun,Gunt,r,ur,tur,ntur,consanent,consanent,6,u,vowel,n,consanent,t,consanent,u,vowel,t,consanent,n,consanent
1548,Gunzburg,Gunzburgers,ers,G,Gu,Gun,Gunz,g,rg,urg,burg,consanent,consanent,8,u,vowel,n,consanent,z,consanent,r,consanent,u,vowel,b,consanent
1549,Guraidhoo,Guraidhoons,ns,G,Gu,Gur,Gura,o,oo,hoo,dhoo,consanent,vowel,9,u,vowel,r,consanent,a,vowel,o,vowel,h,consanent,d,consanent
1550,Gurgaon,Gurgaonite,ite,G,Gu,Gur,Gurg,n,on,aon,gaon,consanent,consanent,7,u,vowel,r,consanent,g,consanent,o,vowel,a,vowel,g,consanent
1551,Guria,Gurians,ns,G,Gu,Gur,Guri,a,ia,ria,uria,consanent,vowel,5,u,vowel,r,consanent,i,vowel,i,vowel,r,consanent,u,vowel
1552,Gurue,Guruenses,nses,G,Gu,Gur,Guru,e,ue,rue,urue,consanent,vowel,5,u,vowel,r,consanent,u,vowel,u,vowel,r,consanent,u,vowel
1553,Gusau,Gusauans,ans,G,Gu,Gus,Gusa,u,au,sau,usau,consanent,vowel,5,u,vowel,s,consanent,a,vowel,a,vowel,s,consanent,u,vowel
1554,Gutersloh,Gutersloher,er,G,Gu,Gut,Gute,h,oh,loh,sloh,consanent,consanent,9,u,vowel,t,consanent,e,vowel,o,vowel,l,consanent,s,consanent
1555,Guwahati,Guwahatian,an,G,Gu,Guw,Guwa,i,ti,ati,hati,consanent,vowel,8,u,vowel,w,consanent,a,vowel,t,consanent,a,vowel,h,consanent
1556,Gwadar,Gwadari,i,G,Gw,Gwa,Gwad,r,ar,dar,adar,consanent,consanent,6,w,consanent,a,vowel,d,consanent,a,vowel,d,consanent,a,vowel
1557,Gwalior,Gwaliorite,ite,G,Gw,Gwa,Gwal,r,or,ior,lior,consanent,consanent,7,w,consanent,a,vowel,l,consanent,o,vowel,i,vowel,l,consanent
1558,Gwangju,Gwangjuites,ites,G,Gw,Gwa,Gwan,u,ju,gju,ngju,consanent,vowel,7,w,consanent,a,vowel,n,consanent,j,consanent,g,consanent,n,consanent
1559,Gweru,Gweruans,ans,G,Gw,Gwe,Gwer,u,ru,eru,weru,consanent,vowel,5,w,consanent,e,vowel,r,consanent,r,consanent,e,vowel,w,consanent
1560,Gyal,Gyali,i,G,Gy,Gya,Gyal,l,al,yal,Gyal,consanent,consanent,4,y,consanent,a,vowel,l,consanent,a,vowel,y,consanent,G,consanent
1562,Gyeongsangbuk,Gyeongsangbukites,ites,G,Gy,Gye,Gyeo,k,uk,buk,gbuk,consanent,consanent,13,y,consanent,e,vowel,o,vowel,u,vowel,b,consanent,g,consanent
1563,Gyeongsangnam,Gyeongsangnamites,ites,G,Gy,Gye,Gyeo,m,am,nam,gnam,consanent,consanent,13,y,consanent,e,vowel,o,vowel,a,vowel,n,consanent,g,consanent
1564,Gyomaendrod,Gyomaendrodi,i,G,Gy,Gyo,Gyom,d,od,rod,drod,consanent,consanent,11,y,consanent,o,vowel,m,consanent,o,vowel,r,consanent,d,consanent
1565,Gyongyos,Gyongyosi,i,G,Gy,Gyo,Gyon,s,os,yos,gyos,consanent,consanent,8,y,consanent,o,vowel,n,consanent,o,vowel,y,consanent,g,consanent
1566,Gyor,Gyori,i,G,Gy,Gyo,Gyor,r,or,yor,Gyor,consanent,consanent,4,y,consanent,o,vowel,r,consanent,o,vowel,y,consanent,G,consanent
1567,Gyula,Gyulai,i,G,Gy,Gyu,Gyul,a,la,ula,yula,consanent,vowel,5,y,consanent,u,vowel,l,consanent,l,consanent,u,vowel,y,consanent
1568,Ha Giang,Ha Giangers,ers,H,Ha,Ha ,Ha G,g,ng,ang,iang,consanent,consanent,8,a,vowel, ,consanent,G,consanent,n,consanent,a,vowel,i,vowel
1569,Ha Nam,Ha Namers,ers,H,Ha,Ha ,Ha N,m,am,Nam, Nam,consanent,consanent,6,a,vowel, ,consanent,N,consanent,a,vowel,N,consanent, ,consanent
1570,Ha Tinh,Ha Tinhians,ians,H,Ha,Ha ,Ha T,h,nh,inh,Tinh,consanent,consanent,7,a,vowel, ,consanent,T,consanent,n,consanent,i,vowel,T,consanent
1571,Haa,Haans,ns,H,Ha,Haa,Haa,a,aa,Haa,a,consanent,vowel,3,a,vowel,a,vowel,,,a,vowel,H,consanent,,
1572,Haapsalu,Haapsaluans,ans,H,Ha,Haa,Haap,u,lu,alu,salu,consanent,vowel,8,a,vowel,a,vowel,p,consanent,l,consanent,a,vowel,s,consanent
1574,Habiganj,Habiganji,i,H,Ha,Hab,Habi,j,nj,anj,ganj,consanent,consanent,8,a,vowel,b,consanent,i,vowel,n,consanent,a,vowel,g,consanent
1575,Hachinohe,Hachinoheans,ans,H,Ha,Hac,Hach,e,he,ohe,nohe,consanent,vowel,9,a,vowel,c,consanent,h,consanent,h,consanent,o,vowel,n,consanent
1576,Hachioji,Hachiojians,ans,H,Ha,Hac,Hach,i,ji,oji,ioji,consanent,vowel,8,a,vowel,c,consanent,h,consanent,j,consanent,o,vowel,i,vowel
1578,HaDarom,HaDaromites,ites,H,Ha,HaD,HaDa,m,om,rom,arom,consanent,consanent,7,a,vowel,D,consanent,a,vowel,o,vowel,r,consanent,a,vowel
1579,Hadera,Haderans,ns,H,Ha,Had,Hade,a,ra,era,dera,consanent,vowel,6,a,vowel,d,consanent,e,vowel,r,consanent,e,vowel,d,consanent
1580,Haderslev,Haderslevians,ians,H,Ha,Had,Hade,v,ev,lev,slev,consanent,consanent,9,a,vowel,d,consanent,e,vowel,e,vowel,l,consanent,s,consanent
1581,Hadjer-Lamis,Hadjer-Lamisiens,iens,H,Ha,Had,Hadj,s,is,mis,amis,consanent,consanent,12,a,vowel,d,consanent,j,consanent,i,vowel,m,consanent,a,vowel
1582,Haeju,Haejuites,ites,H,Ha,Hae,Haej,u,ju,eju,aeju,consanent,vowel,5,a,vowel,e,vowel,j,consanent,j,consanent,e,vowel,a,vowel
1583,Hafar Al-Batin,Hafar Al-Batinis,is,H,Ha,Haf,Hafa,n,in,tin,atin,consanent,consanent,14,a,vowel,f,consanent,a,vowel,i,vowel,t,consanent,a,vowel
1584,Hafizabad,Hafizabadi,i,H,Ha,Haf,Hafi,d,ad,bad,abad,consanent,consanent,9,a,vowel,f,consanent,i,vowel,a,vowel,b,consanent,a,vowel
1585,Hagen,Hagener,er,H,Ha,Hag,Hage,n,en,gen,agen,consanent,consanent,5,a,vowel,g,consanent,e,vowel,e,vowel,g,consanent,a,vowel
1586,Hai Phong,Hai Phongers,ers,H,Ha,Hai,Hai ,g,ng,ong,hong,consanent,consanent,9,a,vowel,i,vowel, ,consanent,n,consanent,o,vowel,h,consanent
